id,city,lat,lon,temp (F),humidity (%),cloudiness (%),wind speed (mph)
3424607,Tasiilaq,65.6145,-37.6368,32.16,77,21,5.53
3414079,Olafsvik,64.8945,-23.7142,44.29,77,92,18.86
4035715,Avarua,-21.2078,-159.775,77.05,69,82,4.61
4030556,Rikitea,-23.1203,-134.9692,71.92,59,25,20.45
935215,Saint-Philippe,-21.3585,55.7679,74.52,81,66,12.53
2206939,Bluff,-46.6,168.3333,49.8,81,38,17.36
3652764,Puerto Ayora,-0.7393,-90.3518,73.54,94,78,8.01
3356832,Henties Bay,-22.116,14.2845,65.73,42,36,7.94
5746545,Portland,45.5234,-122.6762,79.5,52,1,1.01
3412093,Vestmannaeyjar,63.4427,-20.2734,45.75,79,100,16.73
3839307,Rawson,-43.3002,-65.1023,43.36,71,5,16.53
3985710,Cabo San Lucas,22.8909,-109.9124,81.07,54,89,11.18
1513491,Yangi Marg`ilon,40.4272,71.7189,81.32,32,0,4.61
5866583,Saint Paul Harbor,57.79,-152.4072,45.91,93,90,9.22
2126199,Cherskiy,68.75,161.3,68.23,24,9,5.77
1490256,Talnakh,69.4865,88.3972,36.81,86,99,16.49
3366880,Hermanus,-34.4187,19.2345,54.9,76,7,4.56
2075265,Busselton,-33.65,115.3333,62.04,64,97,2.89
4020109,Atuona,-9.8,-139.0333,79.74,74,36,15.14
2112802,Hasaki,35.7333,140.8333,76.14,71,100,11.01
3831208,Qaanaaq,77.484,-69.3632,25.05,90,92,1.54
3416888,Grindavik,63.8424,-22.4338,41.81,87,75,20.42
934322,Mahébourg,-20.4081,57.7,75.49,83,75,11.5
5880054,Barrow,71.2906,-156.7887,30.22,69,90,16.11
4032243,Vaini,-21.2,-175.2,73.92,69,100,10.71
2122104,Petropavlovsk-Kamchatskiy,53.0452,158.6483,52.39,50,71,7.76
2110227,Butaritari,3.0707,172.7902,83.16,79,100,15.57
3893629,Coquimbo,-29.9533,-71.3436,53.33,100,20,5.68
6201424,Mataura,-46.1927,168.8643,49.48,97,78,1.72
2090021,Namatanai,-3.6667,152.4333,81.55,78,96,3.91
4034551,Faanui,-16.4833,-151.75,79.5,72,100,16.42
5106841,Albany,42.6001,-73.9662,53.26,84,77,2.98
3939761,Hualmay,-11.0964,-77.6139,63.07,88,89,6.96
1516048,Khovd,48.0056,91.6419,65.5,15,24,6.17
1062663,Mahajanga,-15.7167,46.3167,71.62,68,20,6.91
1006984,East London,-33.0153,27.9116,58.14,88,40,14.97
2729907,Longyearbyen,78.2186,15.6401,37.36,95,100,4.52
3833367,Ushuaia,-54.8,-68.3,29.86,100,75,12.66
6170031,Tuktoyaktuk,69.4541,-133.0374,30.2,93,90,11.5
5282297,Bethel,41.3712,-73.414,57.94,80,1,0.0
3919813,Colomi,-17.35,-65.8667,37.35,20,77,2.82
3629710,Puerto Ayacucho,5.6639,-67.6236,72.1,97,99,3.22
5848280,Kapaa,22.0752,-159.319,79.48,76,20,1.01
2194098,Ahipara,-35.1667,173.1667,58.68,73,85,10.11
5855927,Hilo,19.7297,-155.09,76.46,76,1,8.05
2144764,Wangaratta,-36.3667,146.3333,61.39,56,90,3.44
1489401,Toora-Khem,52.4675,96.11,69.26,29,0,3.02
1688696,San Policarpo,12.1791,125.5072,84.81,77,100,14.52
6185377,Yellowknife,62.456,-114.3525,54.12,100,75,3.44
934479,Grand Gaube,-20.0064,57.6608,77.38,74,15,8.99
57000,Hobyo,5.3505,48.5268,80.98,73,56,18.16
1629380,Ruteng,-8.6136,120.4721,75.61,60,41,1.41
3466980,Caravelas,-17.7125,-39.2481,70.32,87,48,0.74
6165406,Thompson,55.7435,-97.8558,59.16,58,75,4.61
3369157,Cape Town,-33.9258,18.4232,54.14,91,0,1.99
1507390,Dikson,73.5069,80.5464,34.52,89,98,14.61
546105,Nikolskoye,59.7035,30.7861,53.22,53,14,3.4
2630299,Hofn,64.2539,-15.2082,46.09,80,97,12.86
2068110,Kununurra,-15.7667,128.7333,91.38,35,49,5.75
1795855,Shaoxing,30.011,120.5715,82.35,72,100,2.3
5554428,Ketchikan,55.3422,-131.6461,57.67,94,90,5.75
1015776,Bredasdorp,-34.5322,20.0403,43.92,93,31,4.05
1488206,Ust'-Ishim,57.6935,71.1665,64.76,31,8,5.55
2017155,Saskylakh,71.9167,114.0833,62.6,60,99,15.35
893485,Chiredzi,-21.05,31.6667,57.94,75,3,3.11
2245704,Sédhiou,12.7081,-15.5569,76.14,66,85,3.58
4036284,Alofi,-19.0595,-169.9187,71.49,94,90,5.75
2171099,Codrington,-38.2667,141.9667,64.62,49,98,6.87
964432,Port Alfred,-33.5906,26.891,58.98,86,54,15.61
2155415,New Norfolk,-42.7826,147.0587,57.49,39,99,3.76
2108502,Honiara,-9.4333,159.95,85.08,72,85,6.98
3855065,General Roca,-39.0333,-67.5833,54.0,43,28,10.65
3393115,Paracuru,-3.41,-39.0306,78.12,89,16,9.55
3671519,Puerto Carreño,6.189,-67.4859,73.15,94,99,2.66
2362323,Bogandé,12.9714,-0.1436,83.3,58,20,15.32
1277949,Badvel,14.75,79.05,91.49,42,26,10.56
3471451,Arraial do Cabo,-22.9661,-42.0278,71.62,82,20,8.14
6111862,Port Hardy,50.6996,-127.4199,59.18,94,75,3.44
2163355,Hobart,-42.8794,147.3294,58.71,54,0,3.0
4791259,Virginia Beach,36.8529,-75.978,61.41,86,75,3.44
2015306,Tiksi,71.6872,128.8694,39.45,80,100,7.09
1268773,Jūnāgadh,21.5167,70.4667,91.26,46,3,9.1
3382226,Camopi,3.1655,-52.3158,71.56,99,95,1.68
1045114,Inhambane,-23.865,35.3833,66.18,94,20,5.75
5983720,Iqaluit,63.7506,-68.5145,31.69,100,90,11.01
3883457,Lebu,-37.6167,-73.65,52.11,91,97,6.08
1649150,Bengkulu,-3.8004,102.2655,86.22,62,66,5.03
1819729,Hong Kong,22.2855,114.1577,84.78,99,100,7.99
2094342,Kavieng,-2.5744,150.7967,79.79,87,100,12.64
3115824,Muros,42.7762,-9.0603,57.0,92,99,3.04
3691582,Talara,-4.5772,-81.2719,67.28,84,30,13.35
3421719,Narsaq,60.9167,-46.05,35.82,75,34,1.92
2112309,Katsuura,35.1333,140.3,77.18,73,100,8.66
2317982,Yuli,9.6989,10.2744,77.29,74,100,7.05
3465329,Coruripe,-10.1256,-36.1756,72.32,87,19,4.9
